,Mkt-RF,SMB,HML,RF
201501,-0.31,-1.56,-3.52,0
201502,6.21,0.99,1.96,0
201503,-2.28,-0.51,-0.35,0
201504,4.79,2.18,0.33,0
201505,-0.15,1.66,-2.47,0
201506,-2.84,2.03,0.15,0
201507,2.39,-0.81,-2.65,0
201508,-6.02,3.7,-1,0
201509,-4.27,1.11,-3.63,0
201510,6.19,-2.97,-0.77,0
201511,-1.49,0.33,-2.8,0
201512,-1.86,3.77,-1.25,0.01
201601,-6.43,-0.76,-1.49,0.01
201602,-1.71,1.45,0.37,0.02
201603,6.7,1.71,1.19,0.02
201604,2.38,-0.64,3.35,0.01
201605,-0.38,1.53,-2.87,0.01
201606,-5.01,-2.39,-1.64,0.02
201607,4.44,1.54,0.21,0.02
201608,0.78,1.61,1.93,0.02
201609,0.95,0.92,-0.15,0.02
201610,-3.08,-0.77,6.36,0.02
201611,-2.5,0.89,1.92,0.01
201612,4.72,-0.83,1.99,0.03
201701,2.84,2.03,0.47,0.04
201702,0.68,-0.04,-2.6,0.04
201703,4.27,-1.3,0.5,0.03
201704,4.63,1.91,-1.3,0.05
201705,5.03,0.02,-0.79,0.06
201706,-0.67,1.55,2.03,0.06
201707,3.49,0.8,2.59,0.07
201708,0.11,-0.06,-0.71,0.09
201709,2.72,-0.12,0.47,0.09
201710,0.59,-0.96,-0.13,0.09
201711,-0.01,-0.38,1.29,0.08
201712,1.47,1.55,0.5,0.09
201801,5.52,0.8,1.1,0.11
201802,-5.35,1.22,-0.75,0.11
201803,-0.71,-0.56,-0.94,0.12
201804,2.2,-0.74,1.51,0.14
201805,-2.73,1.23,-4.98,0.14
201806,-0.92,-0.84,-1.56,0.14
201807,2.69,-1.91,0.4,0.16
201808,-2.65,0.88,-2.65,0.16
201809,0.12,-1.46,2.34,0.15
201810,-8.54,-1.7,1.47,0.19
201811,-1.31,-1.18,-0.57,0.18
201812,-4.59,-0.68,0.95,0.19
201901,6.19,0.59,-0.95,0.21
201902,2.93,-1.47,-1.23,0.18
201903,0.58,-1.76,-2.33,0.19
201904,3.7,0.1,-1.04,0.21
201905,-5.34,1.32,-1.54,0.21
201906,5.87,-2.64,-1.32,0.18
201907,-2.56,-1.28,0.09,0.19
201908,-2.4,-0.59,-1.96,0.16
201909,2.15,-0.89,3.08,0.18
201910,3.27,0.93,-0.5,0.15
201911,1.77,2.07,-2.24,0.12
201912,4.07,2.79,0.41,0.14
202001,-2.55,0.36,-2.88,0.13
202002,-8.98,0.28,-0.74,0.12
202003,-15.44,-4.22,-11.3,0.12
202004,6.7,5.03,-3.82,0
202005,5.43,1.21,-4.14,0.01
202006,4.04,-1.2,1.74,0.01
202007,3.99,2.69,-4.75,0.01
202008,4.95,2.91,-1.74,0.01
202009,-2.97,0.85,-3.74,0.01
202010,-4.72,1.21,-0.2,0.01
202011,16.62,0.3,10.76,0.01
202012,5.67,4.66,-1.77,0.01
202101,-1.25,1.66,-0.29,0
202102,2.6,0.87,5.73,0
202103,3.18,-1.97,3.46,0
202104,5.29,2.14,-3.19,0
202105,4.52,-0.99,2.06,0
202106,-1.66,-1.49,-2.5,0
202107,2.09,0.6,-2.98,0
202108,1.45,1.83,-1.18,0
202109,-4.99,-0.6,4.3,0
202110,4.2,-1.62,-0.64,0
202111,-4.29,-0.92,-2.11,0
202112,5.16,-1.34,1.86,0.01
202201,-5.39,-3.22,12.09,0
202202,-3.77,0.39,0.57,0
202203,-0.33,0.59,0.4,0
202204,-5.86,-1.34,2.64,0
202205,1.27,-1.57,5.23,0.03
202206,-10.32,-1.05,-2.46,0.06
202207,5.26,0.62,-6.01,0.08
202208,-6.68,-0.72,5.41,0.19
202209,-9.84,-3.71,1.25,0.19
202210,6.66,-0.95,2.44,0.23
202211,12.64,-1.8,-1.15,0.29
202212,-1.09,1.45,2.58,0.33
202301,8.13,-1.57,1.14,0.35
202302,-1.37,0.15,3.36,0.34
202303,2.04,-3.61,-6.14,0.36
202304,3.5,-1.02,1.14,0.35
202305,-5.7,1.18,-1.23,0.36
202306,4.2,-2.38,2.41,0.4
202307,2.45,0.29,2.74,0.45
202308,-4.6,-0.59,1.66,0.45
202309,-4.97,-1.75,3.54,0.43
202310,-4.37,-2.04,0.78,0.47
202311,9.21,0.11,-0.91,0.44
202312,5.06,3.57,-0.61,0.43
202401,-1.56,-1.48,-1,0.47
202402,1.27,-2.85,-0.76,0.42
202403,3.26,-1.41,3.57,0.43
202404,-2.52,0.64,2.96,0.47
202405,4.97,2.45,0.39,0.44
202406,-3.28,-1.11,-2.33,0.41
202407,1.5,1.9,1.33,0.45
202408,2.97,-2.06,-0.83,0.48
202409,0.48,-0.44,1.74,0.4
202410,-6.01,-0.64,1.39,0.39
202411,-2.38,-0.65,0.27,0.4
202412,-2.42,1.1,1.61,0.37
202501,5.83,-3.63,-0.2,0.37
202502,2.68,-2.76,4.25,0.33
